,iso2,year,sex,age,cases
7343,AF,2005,m,35-44,472
26847,AF,2005,f,45-54,869
9781,AF,2005,m,45-54,453
29285,AF,2005,f,55-64,471
12219,AF,2005,m,55-64,470
31723,AF,2005,f,65+,246
14657,AF,2005,m,65+,419
17096,AF,2006,f,0-14,442
30,AF,2006,m,0-14,193
19534,AF,2006,f,15-24,2139
2468,AF,2006,m,15-24,837
21972,AF,2006,f,25-34,2340
4906,AF,2006,m,25-34,791
24410,AF,2006,f,35-44,1654
7344,AF,2006,m,35-44,574
26848,AF,2006,f,45-54,1006
9782,AF,2006,m,45-54,572
29286,AF,2006,f,55-64,630
12220,AF,2006,m,55-64,572
31724,AF,2006,f,65+,309
14658,AF,2006,m,65+,410
17097,AF,2007,f,0-14,475
31,AF,2007,m,0-14,186
19535,AF,2007,f,15-24,2224
2469,AF,2007,m,15-24,856
21973,AF,2007,f,25-34,2357
4907,AF,2007,m,25-34,840
24411,AF,2007,f,35-44,1708
7345,AF,2007,m,35-44,597
26849,AF,2007,f,45-54,1143
9783,AF,2007,m,45-54,566
29287,AF,2007,f,55-64,771
12221,AF,2007,m,55-64,630
31725,AF,2007,f,65+,353
14659,AF,2007,m,65+,507
17098,AF,2008,f,0-14,428
32,AF,2008,m,0-14,187
19536,AF,2008,f,15-24,2094
2470,AF,2008,m,15-24,941
21974,AF,2008,f,25-34,2449
4908,AF,2008,m,25-34,773
24412,AF,2008,f,35-44,1614
7346,AF,2008,m,35-44,545
26850,AF,2008,f,45-54,1149
9784,AF,2008,m,45-54,570
29288,AF,2008,f,55-64,817
12222,AF,2008,m,55-64,630
31726,AF,2008,f,65+,364
14660,AF,2008,m,65+,575
17099,AG,1996,f,0-14,0
33,AG,1996,m,0-14,0
19537,AG,1996,f,15-24,0
2471,AG,1996,m,15-24,0
21975,AG,1996,f,25-34,0
4909,AG,1996,m,25-34,0
24413,AG,1996,f,35-44,1
7347,AG,1996,m,35-44,0
26851,AG,1996,f,45-54,0
9785,AG,1996,m,45-54,1
29289,AG,1996,f,55-64,0
12223,AG,1996,m,55-64,0
31727,AG,1996,f,65+,0
14661,AG,1996,m,65+,0
17100,AG,2000,f,0-14,1
34,AG,2000,m,0-14,0
19538,AG,2000,f,15-24,1
2472,AG,2000,m,15-24,0
21976,AG,2000,f,25-34,1
4910,AG,2000,m,25-34,0
24414,AG,2000,f,35-44,0
7348,AG,2000,m,35-44,0
26852,AG,2000,f,45-54,0
9786,AG,2000,m,45-54,0
29290,AG,2000,f,55-64,0
12224,AG,2000,m,55-64,0
31728,AG,2000,f,65+,0
14662,AG,2000,m,65+,1
17101,AG,2001,f,0-14,0
35,AG,2001,m,0-14,0
19539,AG,2001,f,15-24,1
2473,AG,2001,m,15-24,0
21977,AG,2001,f,25-34,0
4911,AG,2001,m,25-34,0
24415,AG,2001,f,35-44,0
7349,AG,2001,m,35-44,0
26853,AG,2001,f,45-54,0
9787,AG,2001,m,45-54,0
29291,AG,2001,f,55-64,0
12225,AG,2001,m,55-64,0
31729,AG,2001,f,65+,0
14663,AG,2001,m,65+,0
17102,AG,2002,f,0-14,2
36,AG,2002,m,0-14,0
19540,AG,2002,f,15-24,0
2474,AG,2002,m,15-24,0
21978,AG,2002,f,25-34,1
4912,AG,2002,m,25-34,1
24416,AG,2002,f,35-44,0
7350,AG,2002,m,35-44,0
26854,AG,2002,f,45-54,0
9788,AG,2002,m,45-54,0
29292,AG,2002,f,55-64,0
12226,AG,2002,m,55-64,0
31730,AG,2002,f,65+,0
14664,AG,2002,m,65+,0
17103,AG,2003,f,0-14,0
37,AG,2003,m,0-14,0
19541,AG,2003,f,15-24,0
2475,AG,2003,m,15-24,0
21979,AG,2003,f,25-34,0
4913,AG,2003,m,25-34,1
24417,AG,2003,f,35-44,0
7351,AG,2003,m,35-44,0
26855,AG,2003,f,45-54,0
9789,AG,2003,m,45-54,0
29293,AG,2003,f,55-64,0
12227,AG,2003,m,55-64,0
31731,AG,2003,f,65+,0
14665,AG,2003,m,65+,0
17104,AG,2005,f,0-14,0
38,AG,2005,m,0-14,0
19542,AG,2005,f,15-24,2
2476,AG,2005,m,15-24,0
21980,AG,2005,f,25-34,2
4914,AG,2005,m,25-34,0
24418,AG,2005,f,35-44,0
7352,AG,2005,m,35-44,1
26856,AG,2005,f,45-54,0
9790,AG,2005,m,45-54,1
29294,AG,2005,f,55-64,0
12228,AG,2005,m,55-64,0
31732,AG,2005,f,65+,0
14666,AG,2005,m,65+,0
17105,AG,2007,f,0-14,0
39,AG,2007,m,0-14,0
19543,AG,2007,f,15-24,0
2477,AG,2007,m,15-24,0
21981,AG,2007,f,25-34,0
4915,AG,2007,m,25-34,0
24419,AG,2007,f,35-44,0
7353,AG,2007,m,35-44,0
26857,AG,2007,f,45-54,0
9791,AG,2007,m,45-54,1
29295,AG,2007,f,55-64,0
12229,AG,2007,m,55-64,1
31733,AG,2007,f,65+,0
14667,AG,2007,m,65+,0
17106,AI,2004,f,0-14,0
40,AI,2004,m,0-14,0
19544,AI,2004,f,15-24,0
2478,AI,2004,m,15-24,0
21982,AI,2004,f,25-34,0
4916,AI,2004,m,25-34,0
24420,AI,2004,f,35-44,0
7354,AI,2004,m,35-44,0
26858,AI,2004,f,45-54,0
9792,AI,2004,m,45-54,0
29296,AI,2004,f,55-64,0
12230,AI,2004,m,55-64,0
31734,AI,2004,f,65+,0
14668,AI,2004,m,65+,0
17107,AL,1995,f,0-14,0
41,AL,1995,m,0-14,0
19545,AL,1995,f,15-24,1
2479,AL,1995,m,15-24,0
21983,AL,1995,f,25-34,0
4917,AL,1995,m,25-34,0
24421,AL,1995,f,35-44,0
7355,AL,1995,m,35-44,0
26859,AL,1995,f,45-54,13
9793,AL,1995,m,45-54,19
29297,AL,1995,f,55-64,20
12231,AL,1995,m,55-64,40
31735,AL,1995,f,65+,16
14669,AL,1995,m,65+,30
17108,AL,1997,f,0-14,1
42,AL,1997,m,0-14,0
19546,AL,1997,f,15-24,16
2480,AL,1997,m,15-24,23
21984,AL,1997,f,25-34,19
4918,AL,1997,m,25-34,43
24422,AL,1997,f,35-44,14
7356,AL,1997,m,35-44,33
26860,AL,1997,f,45-54,9
9794,AL,1997,m,45-54,25
29298,AL,1997,f,55-64,10
12232,AL,1997,m,55-64,21
31736,AL,1997,f,65+,8
14670,AL,1997,m,65+,19
17109,AL,1998,f,0-14,2
43,AL,1998,m,0-14,1
19547,AL,1998,f,15-24,19
2481,AL,1998,m,15-24,17
21985,AL,1998,f,25-34,11
4919,AL,1998,m,25-34,21
24423,AL,1998,f,35-44,12
7357,AL,1998,m,35-44,24
26861,AL,1998,f,45-54,13
9795,AL,1998,m,45-54,18
29299,AL,1998,f,55-64,11
12233,AL,1998,m,55-64,26
31737,AL,1998,f,65+,13
14671,AL,1998,m,65+,24
17110,AL,1999,f,0-14,0
44,AL,1999,m,0-14,0
19548,AL,1999,f,15-24,5
2482,AL,1999,m,15-24,13
21986,AL,1999,f,25-34,13
4920,AL,1999,m,25-34,23
24424,AL,1999,f,35-44,11
7358,AL,1999,m,35-44,25
26862,AL,1999,f,45-54,5
9796,AL,1999,m,45-54,19
29300,AL,1999,f,55-64,8
12234,AL,1999,m,55-64,15
31738,AL,1999,f,65+,16
14672,AL,1999,m,65+,15
17111,AL,2000,f,0-14,3
45,AL,2000,m,0-14,2
19549,AL,2000,f,15-24,11
2483,AL,2000,m,15-24,19
21987,AL,2000,f,25-34,10
4921,AL,2000,m,25-34,21
24425,AL,2000,f,35-44,8
7359,AL,2000,m,35-44,14
26863,AL,2000,f,45-54,8
9797,AL,2000,m,45-54,24
29301,AL,2000,f,55-64,5
12235,AL,2000,m,55-64,19
31739,AL,2000,f,65+,11
14673,AL,2000,m,65+,16
17112,AL,2001,f,0-14,1
46,AL,2001,m,0-14,3
19550,AL,2001,f,15-24,12
2484,AL,2001,m,15-24,13
21988,AL,2001,f,25-34,10
4922,AL,2001,m,25-34,18
24426,AL,2001,f,35-44,5
7360,AL,2001,m,35-44,17
26864,AL,2001,f,45-54,7
9798,AL,2001,m,45-54,19
29302,AL,2001,f,55-64,7
12236,AL,2001,m,55-64,20
31740,AL,2001,f,65+,9
14674,AL,2001,m,65+,30
17113,AL,2002,f,0-14,2
47,AL,2002,m,0-14,0
19551,AL,2002,f,15-24,20
2485,AL,2002,m,15-24,21
21989,AL,2002,f,25-34,19
4923,AL,2002,m,25-34,27
24427,AL,2002,f,35-44,9
7361,AL,2002,m,35-44,29
26865,AL,2002,f,45-54,6
9799,AL,2002,m,45-54,19
29303,AL,2002,f,55-64,8
12237,AL,2002,m,55-64,23
31741,AL,2002,f,65+,17
14675,AL,2002,m,65+,25
17114,AL,2003,f,0-14,2
48,AL,2003,m,0-14,0
19552,AL,2003,f,15-24,13
2486,AL,2003,m,15-24,28
21990,AL,2003,f,25-34,8
4924,AL,2003,m,25-34,19
24428,AL,2003,f,35-44,6
7362,AL,2003,m,35-44,32
26866,AL,2003,f,45-54,14
9800,AL,2003,m,45-54,16
29304,AL,2003,f,55-64,12
12238,AL,2003,m,55-64,22
31742,AL,2003,f,65+,20
14676,AL,2003,m,65+,19
17115,AL,2004,f,0-14,2
49,AL,2004,m,0-14,5
19553,AL,2004,f,15-24,12
2487,AL,2004,m,15-24,12
21991,AL,2004,f,25-34,12
4925,AL,2004,m,25-34,19
24429,AL,2004,f,35-44,8
7363,AL,2004,m,35-44,21
26867,AL,2004,f,45-54,11
9801,AL,2004,m,45-54,24
29305,AL,2004,f,55-64,10
12239,AL,2004,m,55-64,23
31743,AL,2004,f,65+,22
14677,AL,2004,m,65+,20
17116,AL,2005,f,0-14,0
50,AL,2005,m,0-14,0
19554,AL,2005,f,15-24,3
2488,AL,2005,m,15-24,26
21992,AL,2005,f,25-34,9
4926,AL,2005,m,25-34,21
24430,AL,2005,f,35-44,5
7364,AL,2005,m,35-44,16
26868,AL,2005,f,45-54,5
9802,AL,2005,m,45-54,31
29306,AL,2005,f,55-64,5
12240,AL,2005,m,55-64,20
31744,AL,2005,f,65+,18
14678,AL,2005,m,65+,37
17117,AL,2006,f,0-14,2
51,AL,2006,m,0-14,5
19555,AL,2006,f,15-24,12
2489,AL,2006,m,15-24,24
21993,AL,2006,f,25-34,8
4927,AL,2006,m,25-34,19
24431,AL,2006,f,35-44,7
7365,AL,2006,m,35-44,22
26869,AL,2006,f,45-54,7
9803,AL,2006,m,45-54,21
29307,AL,2006,f,55-64,7
12241,AL,2006,m,55-64,19
31745,AL,2006,f,65+,13
14679,AL,2006,m,65+,20
17118,AL,2007,f,0-14,2
52,AL,2007,m,0-14,0
19556,AL,2007,f,15-24,13
2490,AL,2007,m,15-24,19
21994,AL,2007,f,25-34,9
4928,AL,2007,m,25-34,13
24432,AL,2007,f,35-44,7
7366,AL,2007,m,35-44,16
26870,AL,2007,f,45-54,7
9804,AL,2007,m,45-54,24
29308,AL,2007,f,55-64,11
12242,AL,2007,m,55-64,16
31746,AL,2007,f,65+,9
14680,AL,2007,m,65+,19
17119,AL,2008,f,0-14,1
53,AL,2008,m,0-14,1
19557,AL,2008,f,15-24,20
2491,AL,2008,m,15-24,23
21995,AL,2008,f,25-34,10
4929,AL,2008,m,25-34,26
24433,AL,2008,f,35-44,8
7367,AL,2008,m,35-44,13
26871,AL,2008,f,45-54,5
9805,AL,2008,m,45-54,19
29309,AL,2008,f,55-64,5
12243,AL,2008,m,55-64,13
31747,AL,2008,f,65+,10
14681,AL,2008,m,65+,16
17120,AM,1995,f,0-14,1
54,AM,1995,m,0-14,1
19558,AM,1995,f,15-24,1
2492,AM,1995,m,15-24,18
21996,AM,1995,f,25-34,7
4930,AM,1995,m,25-34,16
24434,AM,1995,f,35-44,2
7368,AM,1995,m,35-44,11
26872,AM,1995,f,45-54,1
9806,AM,1995,m,45-54,10
29310,AM,1995,f,55-64,1
12244,AM,1995,m,55-64,8
31748,AM,1995,f,65+,0
14682,AM,1995,m,65+,1
17121,AM,1996,f,0-14,0
55,AM,1996,m,0-14,2
19559,AM,1996,f,15-24,9
2493,AM,1996,m,15-24,53
21997,AM,1996,f,25-34,11
4931,AM,1996,m,25-34,100
24435,AM,1996,f,35-44,9
7369,AM,1996,m,35-44,51
26873,AM,1996,f,45-54,8
9807,AM,1996,m,45-54,43
29311,AM,1996,f,55-64,4
12245,AM,1996,m,55-64,30
31749,AM,1996,f,65+,0
14683,AM,1996,m,65+,7
17122,AM,1997,f,0-14,3
56,AM,1997,m,0-14,2
19560,AM,1997,f,15-24,16
2494,AM,1997,m,15-24,85
21998,AM,1997,f,25-34,22
4932,AM,1997,m,25-34,59
24436,AM,1997,f,35-44,17
7370,AM,1997,m,35-44,77
26874,AM,1997,f,45-54,7
9808,AM,1997,m,45-54,51
29312,AM,1997,f,55-64,14
12246,AM,1997,m,55-64,34
31750,AM,1997,f,65+,1
14684,AM,1997,m,65+,12
17123,AM,1998,f,0-14,1
57,AM,1998,m,0-14,2
19561,AM,1998,f,15-24,21
2495,AM,1998,m,15-24,159
21999,AM,1998,f,25-34,20
4933,AM,1998,m,25-34,90
24437,AM,1998,f,35-44,11
7371,AM,1998,m,35-44,79
26875,AM,1998,f,45-54,10
9809,AM,1998,m,45-54,39
29313,AM,1998,f,55-64,5
12247,AM,1998,m,55-64,17
31751,AM,1998,f,65+,6
14685,AM,1998,m,65+,15
17124,AM,1999,f,0-14,6
58,AM,1999,m,0-14,4
19562,AM,1999,f,15-24,22
2496,AM,1999,m,15-24,151
22000,AM,1999,f,25-34,15
4934,AM,1999,m,25-34,88
24438,AM,1999,f,35-44,20
7372,AM,1999,m,35-44,115
26876,AM,1999,f,45-54,6
9810,AM,1999,m,45-54,76
29314,AM,1999,f,55-64,9
12248,AM,1999,m,55-64,37
31752,AM,1999,f,65+,7
14686,AM,1999,m,65+,20
17125,AM,2000,f,0-14,1
59,AM,2000,m,0-14,2
19563,AM,2000,f,15-24,24
2497,AM,2000,m,15-24,152
